Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.359329,4514137,1.25627e+07,0.0
wiki,Static,1,,0.349388,4514137,1.29201e+07,3.00
wiki,Eager,1,,0.355841,4514137,1.26858e+07,1.00
wiki,Online,1,,0.355065,4514137,1.27135e+07,2.00
wiki,CostModel,1,,0.366679,4514137,1.23109e+07,-2.00
wiki,None,2,,0.375923,4514137,1.20082e+07,0.0
wiki,Static,2,,0.36185,4514137,1.24752e+07,4.00
wiki,Eager,2,,0.361532,4514137,1.24861e+07,4.00
wiki,Online,2,,0.351491,4514137,1.28428e+07,7.00
wiki,CostModel,2,,0.358703,4514137,1.25846e+07,5.00
wiki,None,4,,0.355807,4514137,1.26871e+07,0.0
wiki,Static,4,,0.353469,4514137,1.27709e+07,1.00
wiki,Eager,4,,0.353048,4514137,1.27862e+07,1.00
wiki,Online,4,,0.356668,4514137,1.26564e+07,0
wiki,CostModel,4,,0.352649,4514137,1.28006e+07,1.00
wiki,None,6,,0.355121,4514137,1.27115e+07,0.0
wiki,Static,6,,0.357087,4514137,1.26415e+07,0
wiki,Eager,6,,0.355206,4514137,1.27085e+07,0
wiki,Online,6,,0.354517,4514137,1.27332e+07,1.00
wiki,CostModel,6,,0.350378,4514137,1.28836e+07,2.00
wiki,None,8,,0.350406,4514137,1.28826e+07,0.0
wiki,Static,8,,0.359671,4514137,1.25507e+07,-2.00
wiki,Eager,8,,0.355382,4514137,1.27022e+07,-1.00
wiki,Online,8,,0.353372,4514137,1.27745e+07,0
wiki,CostModel,8,,0.346673,4514137,1.30213e+07,2.00
wiki,None,12,,0.346455,4514137,1.30295e+07,0.0
wiki,Static,12,,0.348685,4514137,1.29462e+07,0
wiki,Eager,12,,0.361831,4514137,1.24758e+07,-4.00
wiki,Online,12,,0.351927,4514137,1.28269e+07,-1.00
wiki,CostModel,12,,0.358017,4514137,1.26087e+07,-3.00
wiki,None,16,,0.348101,4514137,1.29679e+07,0.0
wiki,Static,16,,0.351876,4514137,1.28288e+07,-1.00
wiki,Eager,16,,0.362314,4514137,1.24592e+07,-4.00
wiki,Online,16,,0.356878,4514137,1.26489e+07,-2.00
wiki,CostModel,16,,0.352566,4514137,1.28037e+07,-1.00
enron,None,1,,0.515075,5809356,1.12787e+07,0.0
enron,Static,1,,0.510755,5809356,1.13741e+07,1.00
enron,Eager,1,,0.513897,5809356,1.13045e+07,1.00
enron,Online,1,,0.512512,5809356,1.13351e+07,1.00
enron,CostModel,1,,0.512666,5809356,1.13317e+07,1.00
enron,None,2,,0.518486,5809356,1.12045e+07,0.0
enron,Static,2,,0.506667,5809356,1.14658e+07,3.00
enron,Eager,2,,0.517534,5809356,1.12251e+07,1.00
enron,Online,2,,0.512778,5809356,1.13292e+07,2.00
enron,CostModel,2,,0.514252,5809356,1.12967e+07,1.00
enron,None,4,,0.512923,5809356,1.1326e+07,0.0
enron,Static,4,,0.509125,5809356,1.14105e+07,1.00
enron,Eager,4,,0.506139,5809356,1.14778e+07,2.00
enron,Online,4,,0.512595,5809356,1.13332e+07,1.00
enron,CostModel,4,,0.50976,5809356,1.13963e+07,1.00
enron,None,6,,0.514473,5809356,1.12919e+07,0.0
enron,Static,6,,0.511453,5809356,1.13585e+07,1.00
enron,Eager,6,,0.535635,5809356,1.08457e+07,-4.00
enron,Online,6,,0.510662,5809356,1.13761e+07,1.00
enron,CostModel,6,,0.510185,5809356,1.13868e+07,1.00
enron,None,8,,0.509163,5809356,1.14096e+07,0.0
enron,Static,8,,0.517631,5809356,1.1223e+07,-1.00
enron,Eager,8,,0.515174,5809356,1.12765e+07,-1.00
enron,Online,8,,0.512854,5809356,1.13275e+07,0
enron,CostModel,8,,0.508832,5809356,1.1417e+07,1.00
enron,None,12,,0.512991,5809356,1.13245e+07,0.0
enron,Static,12,,0.522443,5809356,1.11196e+07,-1.00
enron,Eager,12,,0.530531,5809356,1.09501e+07,-3.00
enron,Online,12,,0.52133,5809356,1.11433e+07,-1.00
enron,CostModel,12,,0.567415,5809356,1.02383e+07,-10.00
enron,None,16,,0.540258,5809356,1.07529e+07,0.0
enron,Static,16,,0.516697,5809356,1.12433e+07,5.00
enron,Eager,16,,0.516623,5809356,1.12449e+07,5.00
enron,Online,16,,0.511844,5809356,1.13499e+07,6.00
enron,CostModel,16,,0.50778,5809356,1.14407e+07,7.00
