Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
dblp,GraphMini_Original,P1,4,N/A,1,0.016821,0.602005,16713192,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,4,0.0166908,0.173829,16713192,19.8,3.46,86.5,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,16,0.0173917,0.065985,16713192,20.0,9.12,57.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,32,0.017133,0.0476825,16713192,20.2,12.62,39.4,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,64,0.0170413,0.0427491,16713192,20.9,14.08,22.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,1,0.0167206,4.02945,11466097,19.6,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,4,0.0174824,0.995395,11466097,19.8,4.04,101.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,16,0.0171405,0.29013,11466097,20.0,13.88,86.7,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,32,0.0169319,0.16063,11466097,20.4,25.08,78.3,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,64,0.0168966,0.130819,11466097,21.2,30.80,48.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,1,0.0170624,21.4397,93821341,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,4,0.0172385,5.74402,93821341,19.8,3.73,93.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,16,0.0175239,1.55493,93821341,20.1,13.78,86.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,32,0.0171407,0.82773,93821341,20.5,25.90,80.9,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,64,0.0169874,0.739398,93821341,21.2,28.99,45.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,1,0.0159697,4.51348,262663639,19.5,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,4,0.0173593,1.2211,262663639,19.7,3.69,92.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,16,0.0162308,0.33616,262663639,19.8,13.42,83.8,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,32,0.0174027,0.213455,262663639,20.4,21.14,66.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,64,0.0172528,0.222539,262663639,21.2,20.28,31.6,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,1,0.0190619,152.9,89217432,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,4,0.0193668,38.4955,89217432,19.9,3.97,99.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,16,0.0196258,10.0493,89217432,20.4,15.21,95.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,32,0.0176263,5.1169,89217432,21.0,29.88,93.3,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,64,0.0178218,3.94867,89217432,22.1,38.72,60.5,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,1,0.0174227,5.61395,24076173,19.6,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,4,0.017681,1.43895,24076173,19.7,3.90,97.5,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,16,0.0173583,0.385468,24076173,20.7,14.56,91.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,32,0.0168385,0.224626,24076173,21.1,24.99,78.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,64,0.0171299,0.170761,24076173,23.6,32.87,51.3,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,1,0.0189613,69.017,30817361,19.6,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,4,0.0187379,17.5769,30817361,20.0,3.92,98.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,16,0.0193354,4.68672,30817361,20.6,14.72,92.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,32,0.0173719,2.43382,30817361,21.7,28.35,88.5,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,64,0.0188194,2.01637,30817361,23.7,34.22,53.4,SUCCESS,Original pattern
dblp,GraphMini_Original,P8,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (210s)
dblp,GraphMini_Original,P8,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (210s)
dblp,GraphMini_Original,P8,7,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (210s)
dblp,Your_Patterns,small_dense_4v_1,4,4,1,0.0168064,4.54847,96615211,19.6,1.00,100.0,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_dense_4v_1,4,4,4,0.0170899,1.30365,96615211,19.8,3.48,87.0,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_dense_4v_1,4,4,16,0.0168326,0.362474,96615211,20.0,12.54,78.3,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_dense_4v_1,4,4,32,0.0166734,0.203766,96615211,20.2,22.32,69.7,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_dense_4v_1,4,4,64,0.0177853,0.142697,96615211,21.3,31.87,49.7,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_sparse_4v_1,4,3,1,0.0173814,4.90877,252447350,19.6,1.00,100.0,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_sparse_4v_1,4,3,4,0.0190748,1.25549,252447350,19.8,3.90,97.5,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_sparse_4v_1,4,3,16,0.0189299,0.361902,252447350,20.0,13.56,84.7,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_sparse_4v_1,4,3,32,0.0187314,0.200516,252447350,20.5,24.48,76.5,SUCCESS,Your pattern worked!
