Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
enron,Patterns,small_dense_4v_1,4,3,1,0.00303241,18.6834,1371828020,6.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_1,4,3,4,0.00301152,4.87144,1371828020,6.7,3.83,95.7,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_1,4,3,16,0.00303533,1.37216,1371828020,6.9,13.61,85.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_1,4,3,32,0.00299121,0.728957,1371828020,7.6,25.63,80.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_1,4,3,64,0.00303373,0.556407,1371828020,8.4,33.57,52.4,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_2,4,4,1,0.00308476,5.80434,375691411,6.9,1.00,100.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_2,4,4,4,0.00301373,1.63102,375691411,7.6,3.55,88.7,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_2,4,4,16,0.00304055,0.464215,375691411,11.0,12.50,78.1,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_2,4,4,32,0.00326054,0.268787,375691411,14.1,21.59,67.4,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_2,4,4,64,0.00320795,0.29327,375691411,18.4,19.79,30.9,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_3,4,4,1,0.00297927,6.25502,375691411,6.9,1.00,100.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_3,4,4,4,0.00299745,1.71969,375691411,7.7,3.63,90.7,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_3,4,4,16,0.00302141,0.463703,375691411,11.1,13.48,84.2,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_3,4,4,32,0.00307487,0.252431,375691411,14.1,24.77,77.4,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_3,4,4,64,0.0030279,0.282573,375691411,18.8,22.13,34.5,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_4,4,3,1,0.00302356,18.3087,1371828020,6.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_4,4,3,4,0.00303311,4.89898,1371828020,6.8,3.73,93.2,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_4,4,3,16,0.00303378,1.37188,1371828020,7.0,13.34,83.3,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_4,4,3,32,0.00304105,0.726655,1371828020,7.2,25.19,78.7,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_4,4,3,64,0.00308189,0.567704,1371828020,8.4,32.25,50.3,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_5,4,4,1,0.00307334,5.80246,375691411,7.0,1.00,100.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_5,4,4,4,0.0030059,1.82873,375691411,7.7,3.17,79.2,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_5,4,4,16,0.0030357,0.463173,375691411,11.1,12.52,78.2,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_5,4,4,32,0.00301164,0.271772,375691411,14.3,21.35,66.7,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_5,4,4,64,0.0030694,0.289929,375691411,18.5,20.01,31.2,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_6,4,3,1,0.0030495,18.7993,1371828020,6.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_6,4,3,4,0.00302056,4.90307,1371828020,6.7,3.83,95.7,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_6,4,3,16,0.00302993,1.37156,1371828020,6.9,13.70,85.6,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_6,4,3,32,0.00301965,0.73028,1371828020,7.5,25.74,80.4,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_6,4,3,64,0.00300559,0.670595,1371828020,8.6,28.03,43.7,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_7,4,3,1,0.00322868,16.8644,4909606844,6.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_7,4,3,4,0.00316734,4.40507,4909606844,6.8,3.82,95.5,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_7,4,3,16,0.00301684,2.08438,4909606844,7.1,8.09,50.5,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_7,4,3,32,0.00303812,1.83572,4909606844,7.7,9.18,28.6,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_7,4,3,64,0.00304013,1.76942,4909606844,8.9,9.53,14.8,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_8,4,3,1,0.00307356,18.6715,1371828020,6.7,1.00,100.0,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_8,4,3,4,0.00302154,4.8723,1371828020,6.8,3.83,95.7,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_8,4,3,16,0.00322955,1.41109,1371828020,6.9,13.23,82.6,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_8,4,3,32,0.00302338,0.717735,1371828020,7.3,26.01,81.2,SUCCESS,GraphMini pattern worked!
enron,Patterns,small_dense_4v_8,4,3,64,0.00325408,0.650787,1371828020,8.6,28.69,44.8,SUCCESS,GraphMini pattern worked!
