Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
roadNet-CA,Patterns,small_dense_4v_1,4,3,1,0.0470445,1.59776,10746270,70.5,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_1,4,3,4,0.0491161,0.442733,10746270,70.6,3.60,90.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_1,4,3,16,0.0494751,0.15296,10746270,70.8,10.44,65.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_1,4,3,32,0.0483314,0.116554,10746270,71.1,13.70,42.8,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_1,4,3,64,0.0494342,0.102736,10746270,71.6,15.55,24.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_2,4,3,1,0.0489217,1.59324,10746270,70.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_2,4,3,4,0.0493267,0.446473,10746270,70.8,3.56,89.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_2,4,3,16,0.0498368,0.150672,10746270,70.9,10.57,66.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_2,4,3,32,0.0494611,0.130012,10746270,71.1,12.25,38.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_2,4,3,64,0.0481753,0.101695,10746270,71.5,15.66,24.4,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_3,4,3,1,0.0484024,1.59499,10746270,70.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_3,4,3,4,0.0493295,0.439998,10746270,70.6,3.62,90.5,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_3,4,3,16,0.0455494,0.144993,10746270,70.7,11.00,68.7,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_3,4,3,32,0.0499735,0.129909,10746270,70.9,12.27,38.3,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_3,4,3,64,0.0488284,0.109236,10746270,71.6,14.60,22.8,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_4,4,3,1,0.0476868,1.60522,10746270,70.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_4,4,3,4,0.045527,0.439833,10746270,70.6,3.64,91.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_4,4,3,16,0.0440218,0.155708,10746270,70.8,10.30,64.3,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_4,4,3,32,0.0454955,0.118345,10746270,71.1,13.56,42.3,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_4,4,3,64,0.0460437,0.114669,10746270,71.7,13.99,21.8,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_5,4,3,1,0.0427874,1.59441,10746270,70.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_5,4,3,4,0.0442793,0.442178,10746270,70.6,3.60,90.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_5,4,3,16,0.0458346,0.153029,10746270,70.8,10.41,65.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_5,4,3,32,0.0459753,0.114809,10746270,71.1,13.88,43.3,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_5,4,3,64,0.0456931,0.113958,10746270,71.5,13.99,21.8,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_6,4,3,1,0.0527611,1.60581,10746270,70.5,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_6,4,3,4,0.0458181,0.42451,10746270,70.6,3.78,94.5,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_6,4,3,16,0.0445798,0.152208,10746270,70.8,10.55,65.9,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_6,4,3,32,0.045357,0.127097,10746270,71.1,12.63,39.4,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_6,4,3,64,0.0440154,0.105644,10746270,71.6,15.20,23.7,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_7,4,4,1,0.046029,0.920857,249596,70.5,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_7,4,4,4,0.0459402,0.271149,249596,70.6,3.39,84.7,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_7,4,4,16,0.0462642,0.129979,249596,70.7,7.08,44.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_7,4,4,32,0.0437775,0.12854,249596,71.0,7.16,22.3,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_7,4,4,64,0.0437669,0.10821,249596,71.5,8.50,13.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_8,4,4,1,0.0447355,0.921752,249596,70.5,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_8,4,4,4,0.0443712,0.276672,249596,70.6,3.33,83.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_8,4,4,16,0.0441951,0.134401,249596,70.8,6.85,42.8,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_8,4,4,32,0.0458125,0.114093,249596,71.0,8.07,25.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_8,4,4,64,0.0464095,0.105904,249596,71.6,8.70,13.5,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_9,4,4,1,0.0458228,3.29197,521326,70.5,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_9,4,4,4,0.0444338,0.87291,521326,70.7,3.77,94.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_9,4,4,16,0.0440561,0.25526,521326,71.1,12.89,80.5,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_9,4,4,32,0.0459718,0.150817,521326,71.5,21.82,68.1,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_9,4,4,64,0.0447924,0.1161,521326,72.6,28.35,44.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_10,4,3,1,0.0448097,3.05939,2952147,70.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_10,4,3,4,0.0459895,0.818558,2952147,70.8,3.73,93.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_10,4,3,16,0.0433306,0.239664,2952147,71.0,12.76,79.7,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_10,4,3,32,0.0463978,0.147845,2952147,71.4,20.69,64.6,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_10,4,3,64,0.0441181,0.125111,2952147,72.2,24.45,38.2,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_11,4,3,1,0.0437346,1.59492,10746270,70.5,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_11,4,3,4,0.0450729,0.443103,10746270,70.6,3.59,89.7,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_11,4,3,16,0.0427684,0.156198,10746270,70.7,10.21,63.8,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_11,4,3,32,0.0463993,0.133047,10746270,71.0,11.98,37.4,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_11,4,3,64,0.0448032,0.109485,10746270,71.6,14.56,22.7,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_12,4,3,1,0.0459338,1.6033,10746270,70.4,1.00,100.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_12,4,3,4,0.0450729,0.445284,10746270,70.6,3.60,90.0,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_12,4,3,16,0.0456328,0.151077,10746270,70.7,10.61,66.3,SUCCESS,GraphMini pattern worked!
roadNet-CA,Patterns,small_dense_4v_12,4,3,32,0.0436715,0.117389,10746270,71.0,13.65,42.6,SUCCESS,GraphMini pattern worked!
