Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
wiki,Patterns,small_dense_4v_1,4,3,1,0.00324004,23.5985,1048807458,5.2,1.00,100.0,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_1,4,3,4,0.00150193,6.30034,1048807458,5.4,3.74,93.5,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_1,4,3,16,0.00143182,1.76985,1048807458,5.5,13.33,83.3,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_1,4,3,32,0.00142561,1.05152,1048807458,6.3,22.44,70.1,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_1,4,3,64,0.00143367,1.01692,1048807458,6.8,23.20,36.2,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_2,4,3,1,0.00139398,23.2172,1048807458,5.4,1.00,100.0,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_2,4,3,4,0.00137497,6.20184,1048807458,5.4,3.74,93.5,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_2,4,3,16,0.0014071,1.7484,1048807458,5.7,13.27,82.9,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_2,4,3,32,0.00149554,1.1833,1048807458,5.7,19.62,61.3,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_2,4,3,64,0.00174471,0.978473,1048807458,7.1,23.72,37.0,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_3,4,3,1,0.00140723,25.364,1048807458,5.2,1.00,100.0,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_3,4,3,4,0.00149034,7.47348,1048807458,5.4,3.39,84.7,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_3,4,3,16,0.00154676,1.85918,1048807458,5.5,13.64,85.2,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_3,4,3,32,0.0014166,1.19701,1048807458,5.8,21.18,66.1,SUCCESS,GraphMini pattern worked!
wiki,Patterns,small_dense_4v_3,4,3,64,0.00141622,0.955754,1048807458,6.4,26.53,41.4,SUCCESS,GraphMini pattern worked!
