Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
youtube,Patterns,small_dense_4v_1,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (240s)
youtube,Patterns,small_dense_4v_1,4,3,4,N/A,N/A,N/A,53.2,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_dense_4v_1,4,3,16,N/A,N/A,N/A,53.9,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_dense_4v_1,4,3,32,N/A,N/A,N/A,54.6,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_dense_4v_1,4,3,64,N/A,N/A,N/A,56.0,N/A,N/A,FAILED,Execution failed
youtube,Patterns,small_dense_4v_2,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (240s)
youtube,Patterns,small_dense_4v_2,4,3,4,0.0381056,231.115,91488735459,53.7,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_2,4,3,16,0.0396993,58.7493,91488735459,55.4,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_2,4,3,32,0.0383107,30.3903,91488735459,57.8,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_2,4,3,64,0.0375609,27.7903,91488735459,62.1,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_3,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (240s)
youtube,Patterns,small_dense_4v_3,4,3,4,0.0390682,236.663,91488735459,53.6,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_3,4,3,16,0.0304017,65.4319,91488735459,55.4,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_3,4,3,32,0.0391343,32.3383,91488735459,57.6,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_3,4,3,64,0.0380585,29.7324,91488735459,62.2,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_4,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (240s)
youtube,Patterns,small_dense_4v_4,4,3,4,0.0377751,237.727,91488735459,53.7,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_4,4,3,16,0.0478447,59.5581,91488735459,55.5,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_4,4,3,32,0.0385817,30.7473,91488735459,57.9,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_4,4,3,64,0.0361913,28.5378,91488735459,62.2,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_5,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (240s)
youtube,Patterns,small_dense_4v_5,4,3,4,0.0372128,238.379,91488735459,53.5,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_5,4,3,16,0.0382668,62.2923,91488735459,55.5,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_5,4,3,32,0.0401914,30.5003,91488735459,57.8,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_5,4,3,64,0.0375163,24.7685,91488735459,62.2,N/A,N/A,SUCCESS,GraphMini pattern worked!
youtube,Patterns,small_dense_4v_6,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (240s)
youtube,Patterns,small_dense_4v_6,4,3,4,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (240s)
