Dataset,PatternCategory,QueryFile,QueryVertices,QueryEdges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
dblp,small_dense_4,query_dense_4_1.graph,4,3,1,0.0513048,6.31376,252447350,18448.0,SUCCESS,
dblp,small_dense_4,query_dense_4_1.graph,4,3,2,0.0128197,3.09846,252447350,18832.0,SUCCESS,
dblp,small_dense_4,query_dense_4_1.graph,4,3,4,0.0195192,1.61128,252447350,18928.0,SUCCESS,
dblp,small_dense_4,query_dense_4_2.graph,4,3,1,0.0127484,6.24073,252447350,18448.0,SUCCESS,
dblp,small_dense_4,query_dense_4_2.graph,4,3,2,0.016276,3.0763,252447350,18800.0,SUCCESS,
dblp,small_dense_4,query_dense_4_2.graph,4,3,4,0.0131425,1.61981,252447350,18880.0,SUCCESS,
dblp,small_dense_4,query_dense_4_3.graph,4,5,1,0.0120838,3.62091,4764685,18880.0,SUCCESS,
dblp,small_dense_4,query_dense_4_3.graph,4,5,2,0.0091045,1.74242,4764685,18944.0,SUCCESS,
dblp,small_dense_4,query_dense_4_3.graph,4,5,4,0.00943471,1.10986,4764685,19296.0,SUCCESS,
dblp,small_dense_4,query_dense_4_4.graph,4,4,1,0.0111785,5.93488,96615211,18896.0,SUCCESS,
dblp,small_dense_4,query_dense_4_4.graph,4,4,2,0.0112415,2.88418,96615211,19408.0,SUCCESS,
dblp,small_dense_4,query_dense_4_4.graph,4,4,4,0.0217809,1.95795,96615211,19488.0,SUCCESS,
dblp,small_dense_4,query_dense_4_5.graph,4,5,1,0.0103636,3.82521,4764685,18832.0,SUCCESS,
dblp,small_dense_4,query_dense_4_5.graph,4,5,2,0.012433,1.95245,4764685,19136.0,SUCCESS,
dblp,small_dense_4,query_dense_4_5.graph,4,5,4,0.0158559,1.13972,4764685,19728.0,SUCCESS,
dblp,small_dense_4,query_dense_4_6.graph,4,6,1,0.0189036,1.10161,16713192,18752.0,SUCCESS,
dblp,small_dense_4,query_dense_4_6.graph,4,6,2,0.0114385,0.543206,16713192,19072.0,SUCCESS,
dblp,small_dense_4,query_dense_4_6.graph,4,6,4,0.0147679,0.275212,16713192,19216.0,SUCCESS,
dblp,small_dense_4,query_dense_4_7.graph,4,6,1,0.0160851,1.10069,16713192,18736.0,SUCCESS,
dblp,small_dense_4,query_dense_4_7.graph,4,6,2,0.0139785,0.546289,16713192,18992.0,SUCCESS,
dblp,small_dense_4,query_dense_4_7.graph,4,6,4,0.0128483,0.268016,16713192,19008.0,SUCCESS,
dblp,small_dense_4,query_dense_4_8.graph,4,6,1,0.0173007,1.10091,16713192,18752.0,SUCCESS,
dblp,small_dense_4,query_dense_4_8.graph,4,6,2,0.0104861,0.668165,16713192,18752.0,SUCCESS,
dblp,small_dense_4,query_dense_4_8.graph,4,6,4,0.0146702,0.322064,16713192,19200.0,SUCCESS,
dblp,small_dense_4,query_dense_4_9.graph,4,4,1,0.00977067,5.88613,96615211,18928.0,SUCCESS,
dblp,small_dense_4,query_dense_4_9.graph,4,4,2,0.0120416,2.90248,96615211,19280.0,SUCCESS,
dblp,small_dense_4,query_dense_4_9.graph,4,4,4,0.0166055,1.425,96615211,20016.0,SUCCESS,
dblp,small_dense_4,query_dense_4_10.graph,4,6,1,0.0106135,1.10358,16713192,18720.0,SUCCESS,
dblp,small_dense_4,query_dense_4_10.graph,4,6,2,0.0100351,0.533406,16713192,18688.0,SUCCESS,
dblp,small_dense_4,query_dense_4_10.graph,4,6,4,0.018879,0.311397,16713192,19136.0,SUCCESS,
dblp,small_dense_4,query_dense_4_11.graph,4,4,1,0.015163,5.76569,96615211,18880.0,SUCCESS,
dblp,small_dense_4,query_dense_4_11.graph,4,4,2,0.0119224,2.88508,96615211,19184.0,SUCCESS,
dblp,small_dense_4,query_dense_4_11.graph,4,4,4,0.0183516,1.48994,96615211,19968.0,SUCCESS,
dblp,small_dense_4,query_dense_4_12.graph,4,6,1,0.0137566,1.09981,16713192,18720.0,SUCCESS,
dblp,small_dense_4,query_dense_4_12.graph,4,6,2,0.014482,0.539621,16713192,18896.0,SUCCESS,
dblp,small_dense_4,query_dense_4_12.graph,4,6,4,0.0176438,0.272715,16713192,19040.0,SUCCESS,
dblp,small_dense_4,query_dense_4_13.graph,4,4,1,0.0108445,5.76887,96615211,18928.0,SUCCESS,
dblp,small_dense_4,query_dense_4_13.graph,4,4,2,0.0110911,3.16471,96615211,19408.0,SUCCESS,
dblp,small_dense_4,query_dense_4_13.graph,4,4,4,0.0171405,1.756,96615211,19920.0,SUCCESS,
dblp,small_dense_4,query_dense_4_14.graph,4,6,1,0.0177257,1.19112,16713192,18688.0,SUCCESS,
