Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00386717,0.314433,4514137,1.43564e+07,5696.0,1.000,100.00,0.314433,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000606292,0.391866,4514137,1.15196e+07,5728.0,.8023,40.100,0.314433,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000656666,0.342183,4514137,1.31922e+07,5792.0,.9189,22.900,0.314433,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000610042,0.380939,4514137,1.185e+07,5712.0,.8254,10.300,0.314433,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000610959,0.476419,4514137,9.47514e+06,5632.0,.6599,4.100,0.314433,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.00100325,0.540517,4514137,8.35151e+06,5728.0,1.000,100.00,0.540517,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000599666,0.447565,4514137,1.0086e+07,5680.0,1.2076,60.300,0.540517,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.000649416,0.436759,4514137,1.03355e+07,5664.0,1.2375,30.900,0.540517,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000621417,0.408084,4514137,1.10618e+07,5744.0,1.3245,16.500,0.540517,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000598083,0.396443,4514137,1.13866e+07,5712.0,1.3634,8.500,0.540517,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.00111725,0.44065,4514137,1.02443e+07,5712.0,1.000,100.00,0.44065,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000667708,0.464344,4514137,9.72155e+06,5744.0,.9489,47.400,0.44065,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000729667,0.565099,4514137,7.98823e+06,5648.0,.7797,19.400,0.44065,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.000737,0.498614,4514137,9.05337e+06,5728.0,.8837,11.000,0.44065,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.00156708,1.55848,4514137,2.89649e+06,5696.0,.2827,1.700,0.44065,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.00104937,0.99876,4514137,4.51974e+06,5568.0,1.000,100.00,0.99876,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.001898,0.695959,4514137,6.48621e+06,5568.0,1.4350,71.700,0.99876,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000708958,0.661768,4514137,6.82133e+06,5680.0,1.5092,37.700,0.99876,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.00119879,0.612349,4514137,7.37183e+06,5648.0,1.6310,20.300,0.99876,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000858833,0.538827,4514137,8.37772e+06,5744.0,1.8535,11.500,0.99876,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.00105387,0.634456,4514137,7.11497e+06,5600.0,1.000,100.00,0.634456,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.00100196,0.636127,4514137,7.09628e+06,5632.0,.9973,49.800,0.634456,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.000864834,0.615207,4514137,7.33759e+06,5600.0,1.0312,25.700,0.634456,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.0007475,0.560283,4514137,8.05688e+06,5760.0,1.1323,14.100,0.634456,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.000991625,0.620473,4514137,7.27531e+06,5728.0,1.0225,6.300,0.634456,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.000731041,0.558398,4514137,8.08409e+06,5600.0,1.000,100.00,0.558398,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.000896333,0.570112,4514137,7.91798e+06,5632.0,.9794,48.900,0.558398,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.000785042,0.639246,4514137,7.06166e+06,5472.0,.8735,21.800,0.558398,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,FAILED,FAILED,0,0,0,FAILED,FAILED,0.558398,test_failed
wiki,7K_nodes_100K_edges,5clique,5,16,0.000625708,0.612496,4514137,7.37006e+06,5712.0,.9116,5.600,0.558398,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.000942958,0.54979,4514137,8.21066e+06,5616.0,1.000,100.00,0.54979,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.000832791,0.546585,4514137,8.2588e+06,5664.0,1.0058,50.200,0.54979,calculated
wiki,7K_nodes_100K_edges,house,4,4,0.000643958,0.60263,4514137,7.49073e+06,5680.0,.9123,22.800,0.54979,calculated
wiki,7K_nodes_100K_edges,house,4,8,0.0007855,0.561231,4514137,8.04328e+06,5664.0,.9796,12.200,0.54979,calculated
wiki,7K_nodes_100K_edges,house,4,16,0.000734416,0.553705,4514137,8.1526e+06,5696.0,.9929,6.200,0.54979,calculated
wiki,7K_nodes_100K_edges,diamond,4,1,0.000672458,0.579849,4514137,7.78502e+06,5664.0,1.000,100.00,0.579849,baseline
wiki,7K_nodes_100K_edges,diamond,4,2,0.00076075,0.529693,4514137,8.52217e+06,5600.0,1.0946,54.700,0.579849,calculated
wiki,7K_nodes_100K_edges,diamond,4,4,0.000723542,0.649705,4514137,6.94798e+06,5648.0,.8924,22.300,0.579849,calculated
wiki,7K_nodes_100K_edges,diamond,4,8,0.00212779,0.632273,4514137,7.13954e+06,5760.0,.9170,11.400,0.579849,calculated
wiki,7K_nodes_100K_edges,diamond,4,16,0.00072225,0.547475,4514137,8.24537e+06,5696.0,1.0591,6.600,0.579849,calculated
enron,37K_nodes_184K_edges,triangle,3,1,0.00770225,0.537878,5809356,1.08005e+07,6224.0,1.000,100.00,0.537878,baseline
enron,37K_nodes_184K_edges,triangle,3,2,0.00171788,0.543697,5809356,1.06849e+07,6128.0,.9892,49.400,0.537878,calculated
enron,37K_nodes_184K_edges,triangle,3,4,0.00167883,0.523136,5809356,1.11049e+07,6160.0,1.0281,25.700,0.537878,calculated
enron,37K_nodes_184K_edges,triangle,3,8,0.00161042,0.552619,5809356,1.05124e+07,6160.0,.9733,12.100,0.537878,calculated
enron,37K_nodes_184K_edges,triangle,3,16,0.00137583,0.582723,5809356,9.96934e+06,6160.0,.9230,5.700,0.537878,calculated
enron,37K_nodes_184K_edges,4path,4,1,0.00169587,0.526582,5809356,1.10322e+07,6192.0,1.000,100.00,0.526582,baseline
enron,37K_nodes_184K_edges,4path,4,2,0.00305887,0.521041,5809356,1.11495e+07,6192.0,1.0106,50.500,0.526582,calculated
enron,37K_nodes_184K_edges,4path,4,4,0.00161958,0.50202,5809356,1.1572e+07,6128.0,1.0489,26.200,0.526582,calculated
enron,37K_nodes_184K_edges,4path,4,8,0.0035355,0.502497,5809356,1.1561e+07,6224.0,1.0479,13.000,0.526582,calculated
enron,37K_nodes_184K_edges,4path,4,16,0.00171287,0.502805,5809356,1.15539e+07,6096.0,1.0472,6.500,0.526582,calculated
enron,37K_nodes_184K_edges,4cycle,4,1,0.00292525,0.537881,5809356,1.08005e+07,6240.0,1.000,100.00,0.537881,baseline
enron,37K_nodes_184K_edges,4cycle,4,2,0.0018845,0.531167,5809356,1.0937e+07,6160.0,1.0126,50.600,0.537881,calculated
