Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00461575,0.107014,608389,5.68512e+06,3824.0,1.000,100.00,0.107014,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.00163304,0.0556235,608389,1.09376e+07,3904.0,1.9238,96.100,0.107014,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.00176329,0.033152,608389,1.83515e+07,3920.0,3.2279,80.600,0.107014,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.00178042,0.0246077,608389,2.47235e+07,4048.0,4.3488,54.300,0.107014,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.00158921,0.0212177,608389,2.86737e+07,4272.0,5.0436,31.500,0.107014,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.00170937,13.5069,32230662,2.38623e+06,3776.0,1.000,100.00,13.5069,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.00474704,7.69982,32230662,4.1859e+06,4064.0,1.7541,87.700,13.5069,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.00187867,4.83925,32230662,6.66025e+06,4160.0,2.7911,69.700,13.5069,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.00164175,5.90063,32230662,5.46224e+06,4528.0,2.2890,28.600,13.5069,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.00129912,5.02201,32230662,6.41788e+06,5072.0,2.6895,16.800,13.5069,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.00153671,1.73852,6233709,3.58563e+06,4848.0,1.000,100.00,1.73852,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.00168796,0.747909,6233709,8.33485e+06,5408.0,2.3245,116.200,1.73852,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.00161517,0.540427,6233709,1.15348e+07,6352.0,3.2169,80.400,1.73852,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.00167129,0.792573,6233709,7.86515e+06,8192.0,2.1935,27.400,1.73852,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.00207833,0.601761,6233709,1.03591e+07,10544.0,2.8890,18.000,1.73852,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.00173463,23.3425,1127174796,4.82885e+07,4368.0,1.000,100.00,23.3425,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.00464404,12.3657,1127174796,9.11534e+07,4784.0,1.8876,94.300,23.3425,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.00461942,9.31007,1127174796,1.21071e+08,5632.0,2.5072,62.600,23.3425,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.00461287,5.55286,1127174796,2.0299e+08,6656.0,4.2036,52.500,23.3425,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.00333621,7.50672,1127174796,1.50155e+08,8256.0,3.1095,19.400,23.3425,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.0017595,0.471259,2077903,4.40926e+06,4256.0,1.000,100.00,0.471259,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.00156029,0.299673,2077903,6.9339e+06,4432.0,1.5725,78.600,0.471259,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.00132758,0.16725,2077903,1.24239e+07,4768.0,2.8176,70.400,0.471259,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.0017645,0.105212,2077903,1.97497e+07,5376.0,4.4791,55.900,0.471259,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.00179237,0.110275,2077903,1.88429e+07,6192.0,4.2734,26.700,0.471259,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.00154308,1.06301,4514137,4.24656e+06,4192.0,1.000,100.00,1.06301,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.00169754,0.721612,4514137,6.25563e+06,4400.0,1.4731,73.600,1.06301,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.00171179,0.55714,4514137,8.10234e+06,4928.0,1.9079,47.600,1.06301,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.00158429,0.274356,4514137,1.64535e+07,5712.0,3.8745,48.400,1.06301,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.00167192,0.251754,4514137,1.79307e+07,6608.0,4.2224,26.300,1.06301,calculated
wiki,7K_nodes_100K_edges,house,5,1,0.001687,174.396,1527784701,8.76043e+06,5264.0,1.000,100.00,174.396,baseline
wiki,7K_nodes_100K_edges,house,5,2,0.00515617,98.9574,1527784701,1.54388e+07,5904.0,1.7623,88.100,174.396,calculated
wiki,7K_nodes_100K_edges,house,5,4,0.0177253,66.3278,1527784701,2.30338e+07,9600.0,2.6293,65.700,174.396,calculated
wiki,7K_nodes_100K_edges,house,5,8,0.00729625,51.8035,1527784701,2.94919e+07,13344.0,3.3664,42.000,174.396,calculated
wiki,7K_nodes_100K_edges,house,5,16,0.00493717,50.5312,1527784701,3.02345e+07,20160.0,3.4512,21.500,174.396,calculated
wiki,7K_nodes_100K_edges,diamond,4,1,0.00462575,0.387509,2077903,5.3622e+06,4192.0,1.000,100.00,0.387509,baseline
wiki,7K_nodes_100K_edges,diamond,4,2,0.00204096,0.284278,2077903,7.30939e+06,4544.0,1.3631,68.100,0.387509,calculated
wiki,7K_nodes_100K_edges,diamond,4,4,0.00168817,0.111824,2077903,1.85819e+07,4864.0,3.4653,86.600,0.387509,calculated
wiki,7K_nodes_100K_edges,diamond,4,8,0.001713,0.0836265,2077903,2.48474e+07,5456.0,4.6338,57.900,0.387509,calculated
wiki,7K_nodes_100K_edges,diamond,4,16,0.00175746,0.0749571,2077903,2.77212e+07,6208.0,5.1697,32.300,0.387509,calculated
enron,37K_nodes_184K_edges,triangle,3,1,0.00797525,0.117257,727044,6.20042e+06,5296.0,1.000,100.00,0.117257,baseline
enron,37K_nodes_184K_edges,triangle,3,2,0.00198779,0.0517068,727044,1.40609e+07,5184.0,2.2677,113.300,0.117257,calculated
enron,37K_nodes_184K_edges,triangle,3,4,0.00197825,0.0325153,727044,2.23601e+07,5232.0,3.6062,90.100,0.117257,calculated
enron,37K_nodes_184K_edges,triangle,3,8,0.00204858,0.024422,727044,2.97701e+07,5360.0,4.8012,60.000,0.117257,calculated
enron,37K_nodes_184K_edges,triangle,3,16,0.00276246,0.0223614,727044,3.25134e+07,5616.0,5.2437,32.700,0.117257,calculated
enron,37K_nodes_184K_edges,4path,4,1,0.00222779,6.89675,8821744,1.27912e+06,5200.0,1.000,100.00,6.89675,baseline
