Dataset,PatternCategory,QueryFile,QueryVertices,QueryEdges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
dblp,query_graph,query_dense_4_1.graph,4,3,1,0.0484709,6.30492,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_1.graph,4,3,2,0.00981154,3.14706,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_1.graph,4,3,4,0.00695221,1.67454,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_2.graph,4,3,1,0.00631,6.38591,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_2.graph,4,3,2,0.00632746,3.12896,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_2.graph,4,3,4,0.00632271,1.64845,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_3.graph,4,5,1,0.00632092,6.32406,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_3.graph,4,5,2,0.00640317,3.17029,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_3.graph,4,5,4,0.006649,1.67955,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_4.graph,4,4,1,0.00629075,6.29379,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_4.graph,4,4,2,0.00646362,3.297,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_4.graph,4,4,4,0.00636742,1.83043,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_5.graph,4,5,1,0.00646608,6.4733,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_5.graph,4,5,2,0.006674,3.19936,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_5.graph,4,5,4,0.00640987,2.06431,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_6.graph,4,6,1,0.00639896,6.28663,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_6.graph,4,6,2,0.00638779,3.13685,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_6.graph,4,6,4,0.00640287,2.00847,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_7.graph,4,6,1,0.00652337,7.45276,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_7.graph,4,6,2,0.00652175,3.16157,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_7.graph,4,6,4,0.0148392,3.61245,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_8.graph,4,6,1,0.0104299,9.78223,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_8.graph,4,6,2,0.0607953,5.57734,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_8.graph,4,6,4,0.0213995,3.89568,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_9.graph,4,4,1,0.0137356,9.87424,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_9.graph,4,4,2,0.0501654,5.57383,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_9.graph,4,4,4,0.0134516,1.78111,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_10.graph,4,6,1,0.00792004,6.28706,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_10.graph,4,6,2,0.00631238,3.53714,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_10.graph,4,6,4,0.00640792,2.2461,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_11.graph,4,4,1,0.00781917,9.03836,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_11.graph,4,4,2,0.049668,3.95352,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_11.graph,4,4,4,0.0108025,3.37742,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_12.graph,4,6,1,0.00977783,6.45656,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_12.graph,4,6,2,0.015457,4.15076,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_12.graph,4,6,4,0.0148412,2.07022,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_13.graph,4,4,1,0.010392,6.27752,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_13.graph,4,4,2,0.0612229,4.76714,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_13.graph,4,4,4,0.0132644,2.86464,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_14.graph,4,6,1,0.0108171,7.13975,252447350,0,SUCCESS,
